cliente,assessor,tipo_evento,titulo,descricao,data_evento,origem,criticidade
LEKE MEIAS,JOYCE,FATURAMENTO_REALIZADO,Faturamento Não informado,Faturamento realizado PDF: R$ 0,01/Não informado/2026,PDF consultivo,INFORMATIVO
LEKE MEIAS,JOYCE,FATURAMENTO_REALIZADO,Faturamento Não informado,Faturamento realizado PDF: R$ 0,01/Não informado/2026,PDF consultivo,INFORMATIVO
LEKE MEIAS,JOYCE,FATURAMENTO_REALIZADO,Faturamento Não informado,Faturamento realizado PDF: R$ 0,01/Não informado/2026,PDF consultivo,INFORMATIVO
LEKE MEIAS,JOYCE,FATURAMENTO_REALIZADO,Faturamento Não informado,Faturamento realizado PDF: R$ 0,01/Não informado/2026,PDF consultivo,INFORMATIVO
LEKE MEIAS,JOYCE,META_ESTRATEGICA,Meta estratégica definida,Meta: R$ 100000 até Dezembro/2026,22/05/2026,Diretoria Operações,ALTA
LEKE MEIAS,JOYCE,META_ESTRATEGICA,Meta estratégica definida,Meta: R$ 100000 até Dezembro/2026,22/05/2026,Diretoria Operações,ALTA
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
LEKE MEIAS,JOYCE,PLANO_ACAO,Não informado,Não informado,22/05/2026,Plano consultivo,Média
