empresa,id_pedido,total_itens,quantidade_itens,numero_pedido,canal,situacao,total_produtos,valor_frete,valor_desconto,outras_despesas,total_pedido,diferenca_produtos_x_itens,diferenca_pedido_x_itens
AF ESTOFADOS,792709817,30.25,1.0,178,Shopee,Entregue,30.25,0.56,0.01,0.0,30.8,0.0,0.55
AF ESTOFADOS,793933070,28.74,1.0,182,Shopee,Entregue,28.74,11.16,0.0,0.0,39.9,0.0,11.16
AF ESTOFADOS,794629538,2853.02,1.0,183,Magalu,Aprovado,2853.02,2899.9,0.0,0.0,5752.92,0.0,2899.9
BALAO DE OFERTAS,348721380,19.0,1.0,1,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,348752691,19.74,1.0,2,Amazon,Faturado,19.74,0.0,0.0,0.0,19.74,0.0,0.0
BALAO DE OFERTAS,348759953,36.8,1.0,3,Amazon,Faturado,36.8,0.0,0.0,0.0,36.8,0.0,0.0
BALAO DE OFERTAS,348760007,22.0,1.0,4,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,348760977,19.0,1.0,5,Amazon,Faturado,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BALAO DE OFERTAS,348761555,59.22,1.0,6,Amazon,Faturado,59.22,0.0,0.0,0.0,59.22,0.0,0.0
BALAO DE OFERTAS,348762037,19.74,1.0,7,Amazon,Faturado,19.74,0.0,0.0,0.0,19.74,0.0,0.0
BALAO DE OFERTAS,348762402,32.0,1.0,8,Amazon,Faturado,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BALAO DE OFERTAS,348763048,19.74,1.0,9,Amazon,Faturado,19.74,0.0,0.0,0.0,19.74,0.0,0.0
BALAO DE OFERTAS,348769391,29.14,1.0,10,Amazon,Faturado,29.14,0.0,0.0,0.0,29.14,0.0,0.0
BALAO DE OFERTAS,348778983,22.0,1.0,11,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
BALAO DE OFERTAS,348810427,48.0,1.0,12,Amazon,Faturado,48.0,0.0,0.0,0.0,48.0,0.0,0.0
BALAO DE OFERTAS,348833142,36.0,1.0,13,Amazon,Faturado,36.0,0.0,0.0,0.0,36.0,0.0,0.0
BALAO DE OFERTAS,348847904,44.0,2.0,14,Amazon,Faturado,44.0,0.0,0.0,0.0,44.0,0.0,0.0
BALAO DE OFERTAS,348848622,44.0,2.0,15,Amazon,Faturado,44.0,0.0,0.0,0.0,44.0,0.0,0.0
BALAO DE OFERTAS,348857614,22.0,1.0,16,Amazon,Faturado,22.0,0.0,0.0,0.0,22.0,0.0,0.0
