codigo_produto,descricao_produto,quantidade,faturamento,pedidos,empresas,percentual,percentual_acumulado,classe_abc
DE00284,Controle Tx Car Mini Aciona Portão Farol Alto Carro Moto 12v A3041 IPEC,1359.0,27522.23,908,1,0.05612884686998945,0.05612884686998945,A
DE00255-PT,Controle Remoto Tx Top Ipec Portão 433 Mhz Ppa Garen Seg Rcg - Preto,1037.0,19429.67,281,1,0.039624876769230835,0.09575372363922029,A
DH02317,LIQUIDIFICADOR VINTAGE VERDE 1000W 127V - ARIETE,12.0,7077.0599999999995,12,2,0.014432958994591918,0.1101866826338122,A
DE07548,Protetor Para Campainha Porteiro Video Anti Furto Smart Home,129.0,5992.14,123,1,0.012220372712659498,0.1224070553464717,A
DH04054,LIQUIDIFICADOR VINTAGE VERDE 1000W 220V-ARIETE,10.0,5815.1,10,1,0.011859317265849304,0.134266372612321,A
DE02358,Filtro De Linha 12 Tomadas Com Voltímetro Preto Ipec,56.0,5304.96,54,1,0.010818937545810033,0.14508531015813103,A
DE01440-PT,Sirene Piezoelétrica Alta Potencia 1 Som Alarme Ipec Preto,239.0,5140.11,132,1,0.010482742389875437,0.15556805254800646,A
DH02324,FORNO DE PIZZA ELETRICO PRETO 1200W 127V ARIETE,4.0,4556.0,4,1,0.009291508222250593,0.16485956077025704,A
DH03365,MAQUINA DE CAFÉ MANUAL VINTAGE VERDE 127V ARIETE,6.0,4280.0,6,1,0.008728633711859644,0.17358819448211668,A
DE02449-CZ,Regua Para Rack Com Disjuntor Bipolar Dj 5000 Full Ipec - Cinza,7.0,3733.8699999999994,4,1,0.007614855971425553,0.18120305045354224,A
HIG-VIRT-JSN-W2AM-001-,Carrinho Funcional De Limpeza W2 SACO AMARELO,4.0,3551.96,2,1,0.0072438686446675195,0.18844691909820976,A
DE06118,FONTE CARREGADOR F200 DUAL COM RECEPTOR IPEC,23.0,3549.51,20,1,0.0072388721136876005,0.19568579121189736,A
DE04381-PT,Controle Remoto Tx Déco Ipec Portão 433Mhz Ppa Garen Seg Rcg - PRETO,266.0,3496.95,64,1,0.007131681228665323,0.20281747244056267,A
DH04066,"BATEDEIRA PLANETARIA POSITANO 600W 220V 5,5L - ARIETE",2.0,3418.0,2,1,0.006970670567087912,0.20978814300765058,A
DE00204,Sirene Audiovisual 1 Som Para Emergencia Alarme 12/24v Ipec,89.0,3372.01,15,1,0.006876878542693421,0.216665021550344,A
DE06507,Microfone Para Dvr Profissional Cftv Captura De Som Ipec,92.0,3136.9,8,1,0.00639739511465713,0.22306241666500112,A
DE00142,Suporte Trava Lock Com Regulagem Portão De Correr E Basculante Preto,48.0,2960.59,32,1,0.006037828430138913,0.22910024509514004,A
DH01746,SANDUICHEIRA PARTY TIME VERMELHA 127V 3 EM 1 700W ARIETE,6.0,2919.1499999999996,6,2,0.00595331567756427,0.2350535607727043,A
DH02318,BATEDEIRA VINTAGE VERDE 600W 127V ARIETE,2.0,2918.0,2,1,0.005950970367104309,0.24100453113980863,A
DH04063,"BATEDEIRA PALNETARIA VINTAGE VERDE 5,5L 600W 220V -ARIETE",2.0,2908.06,2,1,0.005930698727128635,0.24693522986693728,A
DH02593,ESPREMEDOR PRO VINTAGE VERDE 127V - ARIETE,5.0,2899.5,5,1,0.005913241459704915,0.2528484713266422,A
DE07560,Regua Tomada tipo Filtro De Linha 12 Tomadas Rack 19 Preto Ipec,51.0,2881.6,36,1,0.005876736192545503,0.2587252075191877,A
864984847,"Sofá de canto Madrid Premium  2 metros por 2,45 Suede Velut Marrom  Sofa na Web",1.0,2853.02,1,1,0.00581845012911444,0.2645436576483021,A
MB104,Baquetas Para Cajon Vassourinha Mb Nylon Par Marcos Brandão,5.0,2683.8,5,1,0.005473342793431989,0.2700170004417341,A
701347422,Carrinho Sprint Com Bebê Conforto Casulo Click  e Base  - Kiddo,1.0,2627.0,1,1,0.005357504850713852,0.27537450529244795,A
CJCL.01,Cajón Eletroacústico Mb Modelo 2024 Com Alça,4.0,2520.48,4,1,0.005140267920109345,0.2805147732125573,A
BLGBEL4496,Lixeira Cinzeiro Em Aço Inox Aro Em Aluminio 30 Litros,8.0,2479.12,2,1,0.005055918319566701,0.285570691532124,A
DE07387-CZ,Fechadura Eletroimã Magnética Até 60kg De Força Ipec M60  - CINZA,16.0,2433.36,16,1,0.004962595357264202,0.2905332868893882,A
DH04542,"SORVETEIRA 1,5L PARTY TIME 12W VERMELHA 12W 127V ARIETE",5.0,2363.39,5,1,0.0048198985112784965,0.2953531854006667,A
DE03015,ARANDELA LED GAYA SOLAR KOHAV C/ SENSOR DE PRESENÇA,5.0,2349.4,2,1,0.004791367299682955,0.3001445527003496,A
DH03899,ESPREMEDOR PRO VINTAGE AZUL 220V 85W - ARIETE,4.0,2325.05,4,1,0.0047417078999437545,0.3048862606002934,A
KITOPL-5,Kit Opala Poltrona e Puff Decorativo Amamentação Leitura Sala Quarto - Cappuccino,7.0,2300.54,7,1,0.0046917221961405575,0.30957798279643395,A
DH02323,FORNO PIZZA ELETRICO VERMELHO 1200W 127V - ARIETE,2.0,2278.1,2,1,0.004645958051165293,0.31422394084759925,A
DH04057,ESPREMEDOR PRO VINTAGE VERDE 220V 85W - ARIETE,4.0,2240.0,4,1,0.004568256895926543,0.3187921977435258,A
DH01748,TRITURADOR VINTAGE VERDE 127V - ARIETE,8.0,2217.1000000000004,8,1,0.004521554626767295,0.3233137523702931,A
DH04060,CHALEIRA ELETRICA VINTAGE AZUL AÇO INOX 2000W 220V - ARIETE,4.0,2130.12,4,1,0.004344167579978146,0.3276579199502712,A
DE02335-BR-220,Trava Eletromagnetica Portão Lock Plus Com Temporizador Ipec - 220 - BRANCA,17.0,1984.1200000000001,12,1,0.004046415121582934,0.33170433507185415,A
KITOPL-3,Kit Opala Poltrona e Puff Decorativo Amamentação Leitura Sala Quarto - Bege,6.0,1974.0,6,1,0.004025776389535266,0.3357301114613894,A
K8-9COD-TSAV,10 Rolos De Etiqueta 10X15 100X150 Térmica (Não Precisa de Ribbon) Serrilha Zebra Elgin Com 200 Etiquetas Cada,11.0,1958.0,10,1,0.003993145983135791,0.3397232574445252,A
DH03901,CHALEIRA ELETICA POSITANO 127V 1500W - ARIETE,3.0,1908.06,3,1,0.0038912983271614282,0.34361455577168665,A
DE01239-PT,Suporte De Parede Bicicleta Machado Vertical 1 Bike,85.0,1897.92,45,1,0.003870618807105761,0.3474851745787924,A
Q9-HXRN-II3R,Cesta Básica de Alimentos Super Completa 80 Produtos,3.0,1875.0,3,1,0.0038238757499385123,0.35130905032873094,A
tour123,Carrinho De Bebê Até 22kg Compacto Berço e Passeio Tour Ápia,3.0,1799.97,3,1,0.003670859537928973,0.3549799098666599,A
DH04334,"BATEDEIRA PLANETARIA 5,5L CAPRI 127V 600W ACESSORIOS ARIETE",1.0,1745.03,1,1,0.0035588148799547744,0.3585387247466147,A
HIG-REAL-BAND587,Super Jipe Bandeirante Reclinável Com Capota Preto/cinza,2.0,1734.0,2,1,0.0035363202935431363,0.3620750450401578,A
DH04062,TORRADEIRA ELETRICA VINTAGE AZUL 2 FATIAS 810W 220V-ARIETE,4.0,1728.0,4,1,0.003524083891143333,0.36559912893130114,A
DE00299,Controlador De Semáforo Central 2 Níveis Ipec 12v Volts,11.0,1670.3400000000001,7,1,0.0034064920640812244,0.36900562099538237,A
TNY-hamx53311,Violão Giannini Start NF14 CEQ Eletroacústico Nylon Natural [F002],2.0,1669.58,2,2,0.0034049421197772487,0.37241056311515963,A
DH04079,"CHALEIRA ELETRICA MODERNA PRETA 220V 1850W 1,7L ARIETE",3.0,1614.06,3,1,0.0032917146095710692,0.3757022777247307,A
16979,COBERTOR PIEMONTESI PLATINO KING,1.0,1549.9,1,1,0.0031608666799091737,0.37886314440463986,A
DE00193,Sensor Ativo Barreira Ir 15 Mini Digital Fotocélula Ipec,28.0,1528.43,23,1,0.003117080753321878,0.38198022515796176,A
0070,Fechadura Externa Roseta Quadrada Classic 3400 Gold Stam Dourado,8.0,1512.8,1,1,0.00308520492507039,0.3850654300830322,A
DE06486-127V,Trava Dz Lock Plus Portões Deslizantes Ipec Temporizador - 127V,7.0,1507.55,7,1,0.0030744980729705625,0.38813992815600273,A
DE00185,Sensor De Vibração E Impacto C/fio 8 Níveis Sensibilidade,10.0,1475.0,1,1,0.0030081155899516297,0.39114804374595435,A
DE00199,Sensor De Barreira Ativo Ipec Infra Feixe Duplo Dual 30,11.0,1444.0,8,1,0.002944894177552646,0.394092937923507,A
6670-01,Bicicleta Cross Aro 20 Bmx Freestyle Com Rodinhas Cor:Branco/Azul;Pneu:Azul,2.0,1420.85,2,1,0.002897682058293405,0.3969906199818004,A
16980,COBERTOR PIEMONTESI PLATINO Q,1.0,1399.9,1,1,0.002854956619914093,0.3998455766017145,A
27230,FECHADURA NIVA PLUS 8P VOLPER ROLETE 60MM CR,1.0,1388.0,1,1,0.002830687755154483,0.402676264356869,A
DE06508,PROTETOR ELETRÔNICO BIVOLT -1000VA/600W COM 4 TOMADAS - IPEC,9.0,1383.0,9,1,0.002820490753154647,0.40549675511002364,A
DE00344,Autotransformador 8000va Transformador 5600w Tomada 20A Ipec,3.0,1381.65,3,1,0.0028177375626146912,0.4083144926726383,A
CJST.MB,Cajón Student Eletroacústico Pro Mb,2.0,1348.56,2,1,0.002750253803379776,0.4110647464760181,A
KITOPL-6,Kit Opala Poltrona e Puff Decorativo Amamentação Leitura Sala Quarto - Cinza-Escuro,4.0,1316.0,4,1,0.002683850926356844,0.41374859740237496,A
KITOPL-8,Kit Opala Poltrona e Puff Decorativo Amamentação Leitura Sala Quarto - Preto,4.0,1316.0,4,1,0.002683850926356844,0.41643244832873183,A
KITOPL-1,Kit Opala Poltrona e Puff Decorativo Amamentação Leitura Sala Quarto - Azul-Marinho,4.0,1313.54,4,1,0.0026788340013729245,0.41911128233010475,A
691084730,Cadeira Para Auto Smart 360° 0 a 36 Kg Litet - Preta,1.0,1299.99,1,1,0.002651200125953369,0.42176248245605813,A
BLGBEL2227,Kit 2 Contentor Plástico Lixeira Gari 240l Com Pedal Em Aço,1.0,1274.7,1,1,0.0025996236898381984,0.4243621061458963,A
DH04332,"CHALEIRA ELETRICA CAPRI 127V 1,7lL BASE 360º 1500W ARIETE",2.0,1232.55,2,2,0.0025136629629795805,0.42687576910887587,A
DY26203,Imagem Nossa Senhora de Fátima 60cm com Strass,2.0,1223.98,2,1,0.0024961853015518618,0.42937195441042775,A
DE07592,Controle Tx Car Full Portão Prova D'água Code Learn Farol,46.0,1218.21,39,1,0.002484417961244051,0.4318563723716718,A
12tour,Carrinho De Bebê Até 22kg Compacto Berço e Passeio Tour Ápia-Cinza,2.0,1199.98,2,1,0.0024472396919526487,0.43430361206362444,A
CJ-COMPAC EL,Cajon Compacto Duoface Elétrico Marcos Brandao Amadeirada,2.0,1182.48,2,1,0.0024115501849532226,0.43671516224857765,A
DH03413,TORRADEIRA ELETRICO  POSITANO 750W 220V - ARIETE,2.0,1166.25,2,1,0.0023784507164617548,0.4390936129650394,A
DE06390,Fonte Carregador F200 Dual Control WiFi Receptor Ipec,4.0,1161.44,1,1,0.0023686412005379126,0.44146225416557733,A
DH04056,TRITURADOR VINTAGE VERDE 400W 220V-ARIETE,4.0,1160.12,4,1,0.0023659491920099557,0.44382820335758727,A
DE00214,Placa Central Comando Portão Motor Eletrônico  X2 FULL Range,17.0,1156.44,14,1,0.0023584441985380765,0.44618664755612536,A
60470565653,"Saco De Lixo 240l Preto Reforçado 115x130x,12cm C/200 (4pct)",1.0,1154.29,1,1,0.002354059487678147,0.4485407070438035,A
8071,Lixeira Coletora para Copos Plásticos de Água Simples PapaCopo - Nobre,20.0,1154.2,2,2,0.00235387594164215,0.45089458298544566,A
MLB3251424171,Kit 5 Cinzeiro De Chão Em Aço Inox - Bituqueira - Fumódromo,2.0,1148.38,2,1,0.002342006631314341,0.45323658961676,A
DE02356,Filtro de Linha Voltimetro 8 Tomadas Extensão Régua Bivolt,16.0,1146.33,15,1,0.002337825860494408,0.4555744154772544,A
BLGBEL4434,Lixeira 100l Com Pedal E Armação De Ferro Resistente,2.0,1139.78,1,1,0.0023244677878746225,0.457898883265129,A
DH03057,MAQUINA WAFFLE PARTY TIME VERM 700W 127V - ARIETE,4.0,1135.6999999999998,4,2,0.0023161470342427564,0.4602150302993718,A
TNY-hamx82144,Ventilador de Teto Ventisol Mistral 3 Pás Preto Bivolt [F002],2.0,1135.5,2,1,0.002315739154162763,0.46253076945353455,A
DH03898,TRITURADOR VINTAGE AZUL 400W 220V - ARIETE,4.0,1130.76,4,1,0.0023060723962669187,0.46483684184980145,A
DE02528-PT-220,Trava Eletromagnetica Lock Plus Para Portão Sem Temporizador - PRETO - 220V,11.0,1120.56,6,1,0.002285270512187253,0.4671221123619887,A
29358,TRAVESSEIRO 50X70 70% PENA G 30% PLUMA G TRUSSARDI,2.0,1110.4,1,1,0.0022645502041235862,0.4693866625661123,A
HIG-VIRT-BAND-1548-2,Patinete Skatenet Infantil 3 Rodas Dobrável Pro Bandeirante Preto Com Amarelo,2.0,1073.8200000000002,2,1,0.0021899489374927862,0.4715766115036051,A
DE02528-BR-220,Trava Eletromagnetica Lock Plus Para Portão Sem Temporizador - Branca - 220V,9.0,1062.0,9,1,0.0021658432247651732,0.47374245472837023,A
DE02449-VD,Regua Para Rack Com Disjuntor Bipolar Dj 5000 Full Ipec - Verde,2.0,1040.1399999999999,2,1,0.00212126193202189,0.4758637166603921,A
DE07583,Suporte De Parede Bicicleta Machado Horizontal 1 Bike,54.0,1039.6,43,1,0.0021201606558059077,0.477983877316198,A
DE06452,Fonte Nobreak 12v Cftv 6a Bivolt 72w P/ Controle Acesso,6.0,1029.6599999999999,4,1,0.0020998890158302336,0.48008376633202826,A
24368,PANELA PRESSAO FECH EXTERNO 10L EIRILAR,3.0,1019.6999999999999,3,1,0.0020795765878465606,0.48216334291987484,A
LM358,KIT 12 PARES DE MEIA PRETO/BRANCO C/M REF-960224001 34-39,11.0,1010.92,10,1,0.0020616706523348483,0.4842250135722097,A
DE05891,REFLETOR DE LED 100W SOLAR BRANCO FRIO BRISA,3.0,1000.5,1,1,0.0020404201001671903,0.4862654336723769,A
HIG-VIRT-BAND-1549-1,Patinete Infantil Bandeirante Skatenet Led Pro Dobrável Rosa Rosa-claro,2.0,983.98,2,1,0.002006729205559732,0.4882721628779366,A
DH01455,MANDOLIM INOX COM 5 LAMINAS HERCULES,4.0,980.0,4,1,0.0019986123919678626,0.4902707752699045,A
"1,74562E+11",Lixeira Aço Inox Com Tampa Basculante Meia Esfera 30 Litros Inox,3.0,966.0,1,1,0.0019700607863683216,0.4922408360562728,A
MB103,Cajon Acustico Profissional Quadrado Compact Travel Mb,3.0,961.9499999999999,3,1,0.0019618012147484543,0.4942026372710212,A
bdusp-spqrt5k,"Saco Plástico 32x80x0,6 (embalar raquete tenis) 5kg",4.0,961.36,4,1,0.001960597968512474,0.4961632352395337,A
DE05020,Suporte de Video Game para ps4 slim - Preto,13.0,949.53,13,1,0.0019364718617808617,0.49809970710131457,A
JZ 105,Cajón Elétrico Mb Tamborete Caixa De Guerra Pro Colo Bolsa,1.0,949.0,1,1,0.001935390979568879,0.5000350980808834,A
MB109,Cajón Eletroacústico Mb Com Bongôs Premium Percussão Preto,1.0,939.96,1,1,0.0019169547999531755,0.5019520528808366,A
DH01747,TORRADEIRA ELETRICA VINTAGE VERDE 127V - ARIETE,2.0,938.0,2,1,0.0019129575751692398,0.5038650104560058,A
DH02326,FOGAO POR INDUÇAO PORTATIL 3500W 220V 2 BOCAS - ARIETE,1.0,923.73,1,1,0.0018838553314617077,0.5057488657874676,A
DE00180,CENTRAL DE ALARME AL4 MAX 4 SETORES PARTICIONAVEIS - IPEC,5.0,923.5,5,1,0.0018833862693697152,0.5076322520568373,A
DE01533-PT,Controle Remoto Tx Ipec Portão 433Mhz Saw Ppa Garen Seg Rcg - PRETO,35.0,908.31,17,1,0.0018524077772942133,0.5094846598341315,A
DE01109,CAFE TORRADO EM GRÃO E EM PÓ 1KG SABOR DE GARÇA,10.0,905.76,8,2,0.001847207306274297,0.5113318671404058,A
FT-4GID-OSQX,Cesta Básica Média Alimentos de Qualidade - 43 Itens - 30kg,2.0,900.0,2,1,0.001835460359970486,0.5131673275003763,A
BUMBO MB,Bumbinho De Madeira Cajon Marcos Brandao Bumbinho Mb Preto,1.0,899.0,1,1,0.0018334209595705188,0.5150007484599468,A
DH04077,TORRADEIRA ELETR MODERNA PRETA 750W 220V-ARIETE,2.0,898.0,2,1,0.0018313815591705516,0.5168321300191173,A
DE01255,BATERIA SELADA DE CHUMBO 7AH ACIDO 12V ELGIN,6.0,882.99,6,1,0.0018007701591670438,0.5186329001782843,A
DE02335-PT-127,Trava Eletromagnetica Portão Lock Plus Com Temporizador Ipec - 127 - preta,7.0,881.26,7,1,0.0017972419964751006,0.5204301421747595,A
DE01484-CZ,ELETROIMA M150 COM SENSOR A2300 IPEC - CINZA,4.0,875.3599999999999,4,1,0.0017852095341152937,0.5222153517088748,A
MB106,Cajón Colo Eletroacústico Jz Signature Com Bongôs Mb Marrom-claro,1.0,874.5,1,1,0.0017834556497713222,0.5239988073586461,A
32700,Cabide Adulto PP Preto com Cava Leve 12 e Pague 10 Injetcom,88.0,871.2,4,1,0.0017767256284514305,0.5257755329870976,A
UK-IGDJ-3Y10,Etiqueta 10x15 Termica adesiva com Serrilha Ecommerce não utiliza ribbon Zebra Argox Elgin L42,39.0,857.61,28,1,0.0017490101770158762,0.5275245431641135,A
XM-PQS0-RWDZ,Carrinho para Compras Simples com Proteção Lateral,1.0,850.0,1,1,0.0017334903399721256,0.5292580335040856,A
MB127,Bumbinho  Percuteria Eletroacústico Profissional | Compacto,1.0,846.3,1,1,0.001725944558492247,0.5309839780625779,A
DE06216,Modulo Control Wifi Duplo Portão Alarme App No Celular Ipec,8.0,844.4,8,1,0.0017220696977323093,0.5327060477603103,A
DE06462,"RECEPTOR RX IMMUNITY 02 CANAIS 433,92MHZ MULTCODIGOS IPEC",14.0,821.04,5,1,0.0016744293043890752,0.5343804770646994,A
62510295264,Carrinho Para Enrolar Mangueira Em Aço Galvanizado,1.0,810.43,1,1,0.0016527912661454232,0.5360332683308447,A
LM398,KIT 6 PARES DE MEIA C/M PRETO/BRANCO REF-960224001 40/44,20.0,808.0799999999999,17,1,0.0016479986752055001,0.5376812670060502,A
