empresa,codigo_produto,descricao_produto,quantidade,faturamento,pedidos,percentual,percentual_acumulado,classe_abc,assessor
AF ESTOFADOS,864984847,"Sofá de canto Madrid Premium  2 metros por 2,45 Suede Velut Marrom  Sofa na Web",1.0,2853.02,1,0.9797425146204856,0.9797425146204856,C,CHRIS
AF ESTOFADOS,AF0001-5,Puff Puffe Quadrado Decorativo Em Suede - CASTOR,1.0,30.25,1,0.0103880137774252,0.9901305283979108,C,CHRIS
AF ESTOFADOS,AF0001-4,Puff Puffe Quadrado Decorativo Em Suede - CAFÉ,1.0,28.74,1,0.0098694716020892,1.0,C,CHRIS
BALAO DE OFERTAS,K8-9COD-TSAV,10 Rolos De Etiqueta 10X15 100X150 Térmica (Não Precisa de Ribbon) Serrilha Zebra Elgin Com 200 Etiquetas Cada,11.0,1958.0,10,0.0846369278956484,0.0846369278956484,A,JOYCE
BALAO DE OFERTAS,Q9-HXRN-II3R,Cesta Básica de Alimentos Super Completa 80 Produtos,3.0,1875.0,3,0.0810491520961904,0.1656860799918388,A,JOYCE
BALAO DE OFERTAS,"1,74562E+11",Lixeira Aço Inox Com Tampa Basculante Meia Esfera 30 Litros Inox,3.0,966.0,1,0.0417565231599573,0.2074426031517962,A,JOYCE
BALAO DE OFERTAS,FT-4GID-OSQX,Cesta Básica Média Alimentos de Qualidade - 43 Itens - 30kg,2.0,900.0,2,0.0389035930061714,0.2463461961579676,A,JOYCE
BALAO DE OFERTAS,UK-IGDJ-3Y10,Etiqueta 10x15 Termica adesiva com Serrilha Ecommerce não utiliza ribbon Zebra Argox Elgin L42,39.0,857.61,28,0.0370712337755807,0.2834174299335483,A,JOYCE
BALAO DE OFERTAS,XM-PQS0-RWDZ,Carrinho para Compras Simples com Proteção Lateral,1.0,850.0,1,0.0367422822836063,0.3201597122171546,A,JOYCE
BALAO DE OFERTAS,WB-BS0M-OX6Y,JSN Carrinho Para Enrolar Mangueira (Até 100M de 1/2 ou 50M de 3/4),1.0,799.0,1,0.0345377453465899,0.3546974575637446,A,JOYCE
BALAO DE OFERTAS,GC-OLWW-4IIU,LIXEIRA QUADRADA PLÁSTICA COM PEDAL 60L,5.0,745.0,5,0.0322035297662196,0.3869009873299642,A,JOYCE
BALAO DE OFERTAS,bdusp-CX6P,Caixa Plástica Organizadora 180l Com Tampa - Preta Preta,2.0,708.0,1,0.0306041598315215,0.4175051471614857,A,JOYCE
BALAO DE OFERTAS,MLB1898176077,Carrinho enrolador De Mangueira Até 100 M Em Aço Galvanizado,1.0,664.05,1,0.0287043677063868,0.4462095148678725,A,JOYCE
BALAO DE OFERTAS,TNY-hamx50572,Violão Giannini N14N Acústico Nylon Natural [F002],1.0,616.28,1,0.0266394514420481,0.4728489663099206,A,JOYCE
BALAO DE OFERTAS,Pi12,Lixeira 12 Litros Com Pedal Aço Inox Cesto Interno Removível,2.0,558.0,1,0.0241202276638262,0.4969691939737469,A,JOYCE
BALAO DE OFERTAS,ZT-SXF0-PG0T,Cesto com Tampa Vai e Vem 22 Litros Vermelho,7.0,546.0,7,0.0236015130904106,0.5205707070641575,A,JOYCE
BALAO DE OFERTAS,PF-ETQR-65YH,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Azul, 200 litros)",4.0,525.9,4,0.0227326661799394,0.543303373244097,A,JOYCE
BALAO DE OFERTAS,48-KP1D-3ZMV,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Branco),16.0,512.0,16,0.0221318217990664,0.5654351950431634,A,JOYCE
BALAO DE OFERTAS,3M-H9G0-EMLE,"Conduíte Eletroduto Corrugado Reforçado 3/4"" Extra-Forte 50 M Amarelo",5.0,445.0,4,0.0192356654308291,0.5846708604739926,A,JOYCE
BALAO DE OFERTAS,HN-GVDU-4I4Z,LIXEIRA PLASTICO 100L COM PEDAL E RODA QUADRADO PRETO/UN/JSN,1.0,445.0,1,0.0192356654308291,0.6039065259048219,A,JOYCE
BALAO DE OFERTAS,XW-VRWB-J32X,10 Rolos Etiqueta 10x15 100x150 Térmica Adesiva Serrilha Não Utiliza Ribbon Para E-Commerce,2.0,356.0,2,0.0153885323446633,0.6192950582494852,A,JOYCE
BALAO DE OFERTAS,174570924533,Sacos De Lixo 400 Litros Super Reforçado 50 Un Fabricante,2.0,298.0,2,0.0128814119064878,0.632176470155973,A,JOYCE
BALAO DE OFERTAS,5L-5W8Y-OMN2,Lixeira Plástica Tampa Vai-Vem 50 Litros Preto,2.0,290.0,2,0.0125356021908774,0.6447120723468505,A,JOYCE
BALAO DE OFERTAS,121,Saco De Lixo Plástico Preto 40 Litros Com 100 Unidades Cor:Preto,6.0,288.0,6,0.0124491497619748,0.6571612221088253,A,JOYCE
BALAO DE OFERTAS,GF-VTP7-MWK7,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Preto),9.0,288.0,9,0.0124491497619748,0.6696103718708002,A,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML519405,SACO PARA LIXO EMBALIXO BLOQUEADOR DE ODORES COM ALÇA PIA E BANHEIRO - C/ 40 SACOS,10.0,280.0,6,0.0121033400463644,0.6817137119171647,A,JOYCE
BALAO DE OFERTAS,"1,74561E+11",Lixeira Coletor Para Descarte De Pilhas E Baterias 40 L Preto E Laranja,1.0,271.3,1,0.0117272719806381,0.6934409838978028,A,JOYCE
BALAO DE OFERTAS,174173076917,Mesa Dobrável De Plástico Resistente Prática Barata Preta,1.0,256.41,1,0.0110836336474582,0.7045246175452611,A,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML519436,SACO PARA LIXO EMBALIXO BLOQUEADOR DE ODORES COM ALÇA 100L - C/ 10 SACOS,8.0,248.0,5,0.0107201011839227,0.7152447187291838,A,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM222060007,Fita Rotulador Brother PT-65 PT-70 PT-80 PT-85 PT-70Bm Compatível Etiquetador mk131 M-231 MK-231 MK231 12mm,11.0,208.67,9,0.009020014169553,0.7242647328987369,A,JOYCE
BALAO DE OFERTAS,MLB1275745483_40552672366,Saco De Lixo 20 Litros Pacote C/100 Vermelho Cor:Vermelho,9.0,181.0,9,0.0078239448156855,0.7320886777144225,A,JOYCE
BALAO DE OFERTAS,CQ-7OBH-8XA0,Etiqueta Térmica 100 mm x 150 mm 10 rolos 2000 etiquetas,1.0,180.0,1,0.0077807186012342,0.7398693963156568,A,JOYCE
BALAO DE OFERTAS,Y1-JX30-NLXI,Cesto Plastico de 29cm Tampa Vai-Vem Capacidade 12 Litros,4.0,180.0,2,0.0077807186012342,0.7476501149168912,A,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302010050,Papel Fotográfico Inkjet A4 Matte Dupla Face 220g,3.0,177.0,3,0.0076510399578803,0.7553011548747716,A,JOYCE
BALAO DE OFERTAS,QV-6HF6-W2H3,Conduíte Eletroduto Corrugado Reforçado 1 Polegada Não Amassa 25 metro Cinza,3.0,177.0,3,0.0076510399578803,0.762952194832652,A,JOYCE
BALAO DE OFERTAS,XN-MYHM-8EL4,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Amarelo),6.0,177.0,6,0.0076510399578803,0.7706032347905324,A,JOYCE
BALAO DE OFERTAS,DG-QJGC-N11X,Cinzeiro Lixeira Plástico Com Aro Em Aço Inox 24x53 C6i JSN,1.0,176.0,1,0.007607813743429,0.7782110485339615,A,JOYCE
BALAO DE OFERTAS,HIG-VIRT-JSN-P60am-001,"Lixeira Quadrada Plástica com Pedal (Amarelo, 60 litros)",1.0,175.0,1,0.0075645875289777,0.7857756360629393,A,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML519412,SACO PARA LIXO EMBALIXO BLOQUEADOR DE ODORES COM ALÇA 30L - C/ 20 SACOS,6.0,174.0,4,0.0075213613145264,0.7932969973774658,A,JOYCE
BALAO DE OFERTAS,HIG-VIRT-JSN-P60p-001,"Lixeira Quadrada Plástica com Pedal (Preto, 60 litros)",1.0,166.86,1,0.0072127261433441,0.8005097235208101,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302010059,Papel Fotográfico Matte 90g A4 Fosco Branco Masterprint 100 Folhas,5.0,159.5,3,0.0068945812049825,0.8074043047257927,B,JOYCE
BALAO DE OFERTAS,60005677858,100 - Saco De Lixo Transparente - 200 Litros Médio 0.10 Cor:Branco,1.0,147.0,1,0.0063542535243413,0.8137585582501341,B,JOYCE
BALAO DE OFERTAS,KIT 34534,Cesta Basica Alimentos 11 Itens,1.0,144.0,1,0.0062245748809874,0.8199831331311215,B,JOYCE
BALAO DE OFERTAS,MLB1638184267,Saco Para Lixo 40 Litros (400 Unds) Coleta Seletiva,1.0,135.0,1,0.0058355389509257,0.8258186720820472,B,JOYCE
BALAO DE OFERTAS,MK-Y081-55MU,Saco de Lixo hospitalar para Resíduo Infectante 30 litros,4.0,132.0,3,0.0057058603075718,0.831524532389619,B,JOYCE
BALAO DE OFERTAS,PY-TZS5-JEI9,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Laranja, 200 litros)",1.0,129.0,1,0.0055761816642179,0.8371007140538369,B,JOYCE
BALAO DE OFERTAS,TT-PQA7-VSFY,Cinzeiro de Chão em Inox Jsn,1.0,125.0,1,0.0054032768064126,0.8425039908602496,B,JOYCE
BALAO DE OFERTAS,U0-5TBB-HJDM,"Conduíte Eletroduto Corrugado Super Flexível 1"" Extra-Forte 50 Metros Cinza",1.0,120.0,1,0.0051871457341561,0.8476911365944059,B,JOYCE
BALAO DE OFERTAS,P3-8FAR-7G67,Conduíte Eletroduto Corrugado Reforçado 1 Polegada Não Dobra 50 metros Preto,1.0,119.16,1,0.005150835714017,0.852841972308423,B,JOYCE
BALAO DE OFERTAS,8B-5BR9-9PAM,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Vermelho, 100 litros)",1.0,119.0,1,0.0051439195197048,0.8579858918281278,B,JOYCE
BALAO DE OFERTAS,Z0-EVIO-W4F9,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Verde, 100 litros)",1.0,119.0,1,0.0051439195197048,0.8631298113478326,B,JOYCE
BALAO DE OFERTAS,82-GTA5-GFA0,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Azul, 60 litros)",2.0,118.44,2,0.0051197128396121,0.8682495241874448,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302010009,Papel Fotográfico Imantado A4 690g Com Ímã Masterprint 5 Fls,3.0,110.4,2,0.0047721740754236,0.8730216982628686,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-GM302020007,Vinil Adesivo Laser Branco Brilhante A4 135g Masterprint À Prova D'Água Filme Glossy para Impressora Laser 10 Folhas,3.0,108.0,3,0.0046684311607405,0.8776901294236091,B,JOYCE
BALAO DE OFERTAS,MLB1594606333,Saco De Lixo 100 Litros Transparente/canela 100 Un Reforçado,1.0,105.55,1,0.0045625269353348,0.882252656358944,B,JOYCE
BALAO DE OFERTAS,7V-ICFJ-NS9Y,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Vermelho, 20 litros)",5.0,104.96,5,0.0045370234688086,0.8867896798277526,B,JOYCE
BALAO DE OFERTAS,HIG-REAL-EML519429,SACO PARA LIXO EMBALIXO BLOQUEADOR DE ODORES COM ALÇA 50L - C/ 20 SACOS,3.0,102.0,2,0.0044090738740327,0.8911987537017854,B,JOYCE
