ASSESSOR,STATUS,EMPRESA,meta_mes,realizado_mes,percentual_meta,projecao_mes,percentual_projetado,gap_projetado,ritmo_diario_necessario,realizado_mes_anterior,crescimento_vs_mes_anterior,dias_sem_venda,status_saude,score_prioridade,recomendacao,contrato,comissao
CHRIS,ATIVO,AF ESTOFADOS ,27217.14,5823.62,0.2139688446324632,8596.772380952381,0.3158587706479219,-18620.367619047618,2139.352,26701.440000000002,-0.7818986541549819,9,🔴 CRÍTICO,103.62,Acionar cliente: muitos dias sem venda.,1000.0,0.0
CHRIS,ATIVO,CH BIKE BONNER ,10464.29,59.99,0.005732830416588225,88.55666666666667,0.008462749662582618,-10375.733333333334,1040.43,9779.71,-0.9938658712783918,13,🔴 CRÍTICO,95.38,Acionar cliente: muitos dias sem venda.,587.5,0.0
CHRIS,ATIVO,CH  BIKE SLT,3913.18,0.0,0.0,0.0,0.0,-3913.18,391.318,26.38,-1.0,999,🔴 CRÍTICO,88.91,Acionar cliente: muitos dias sem venda.,587.5,0.0
CHRIS,ATIVO,CH BIKE LPS ,1160.33,59.99,0.05170080925254023,88.55666666666667,0.07632024222994034,-1071.7733333333333,110.03399999999999,10017.99,-0.9940117728206956,13,🔴 CRÍTICO,86.07,Acionar cliente: muitos dias sem venda.,587.5,0.0
JOYCE,ATIVO,CAJON MARCOS BRANDÃO LTDA,39632.64,19094.93,0.4817980835997804,28187.753809523812,0.7112257424568187,-11444.886190476187,2053.7709999999997,36458.82,-0.47626033974769344,1,🔴 CRÍTICO,81.44,"Acelerar: projeção abaixo da meta em R$ 11,444.89.",2500.0,0.0
JOYCE,ATIVO,bella comercial,51901.41,12048.57,0.23214340419653337,17785.984285714283,0.34268788238535874,-34115.425714285724,3985.2840000000006,115.66,103.17231540722808,0,🔴 CRÍTICO,80.0,"Acelerar: projeção abaixo da meta em R$ 34,115.43.",525.0,0.0
CHRIS,ATIVO,CH BIKE Passi,9122.14,1539.7,0.1687871486295979,2272.8904761904764,0.24916198131035883,-6849.249523809523,758.2439999999999,8525.36,-0.8193976559347641,3,🔴 CRÍTICO,76.85,"Acelerar: projeção abaixo da meta em R$ 6,849.25.",587.5,0.0
JOYCE,ATIVO,LEKE MEIAS,11800.93,5083.2,0.4307457124141911,7503.771428571428,0.6358627183257106,-4297.158571428572,671.773,11265.57,-0.5487844822765293,0,🔴 CRÍTICO,74.3,"Acelerar: projeção abaixo da meta em R$ 4,297.16.",2100.0,0.0
JOYCE,ATIVO,MVS ,36882.05,12381.51,0.3357055803568402,18277.467142857142,0.49556538052676413,-18604.58285714286,2450.054,968.0899999999999,11.789626997489904,2,🔴 CRÍTICO,68.6,"Acelerar: projeção abaixo da meta em R$ 18,604.58.",525.0,0.0
JOYCE,ATIVO,balão de ofertas,46732.31,25376.7,0.5430225897243257,37460.84285714286,0.801604775307338,-9271.467142857138,2135.5609999999997,574.89,43.141835829463034,0,🔴 CRÍTICO,59.27,"Acelerar: projeção abaixo da meta em R$ 9,271.47.",525.0,0.0
CHRIS,ATIVO,DOKI HOME,27508.2,33136.590000000004,1.2046077169716667,48915.91857142858,1.778230439339127,21407.718571428577,0.0,75867.44,-0.5632304187408985,0,🟢 SAUDÁVEL,20.0,Manter acompanhamento. Cliente tende a bater meta.,1650.0,0.0
CHRIS,ATIVO,DECO ELETRO,226245.13,171540.44,0.758206110337049,253226.3638095238,1.119256639068977,26981.23380952381,5470.469,224947.52,-0.23742017693726958,0,🟢 SAUDÁVEL,20.0,Manter acompanhamento. Cliente tende a bater meta.,0.0,0.0
JOYCE,ATIVO,DECO UTILIDADES,1510.72,22771.170000000002,15.073057879686509,33614.584285714285,22.250704489061032,32103.864285714284,0.0,50799.13,-0.5517409451697302,0,🟢 SAUDÁVEL,20.0,Manter acompanhamento. Cliente tende a bater meta.,810.5,0.0
JOYCE,ATIVO,BIDU SHOP,48716.48,48331.38,0.9920950774768619,71346.32285714285,1.464521304846796,22629.842857142845,38.51000000000058,97747.62,-0.5055492911234054,0,🟢 SAUDÁVEL,20.0,Manter acompanhamento. Cliente tende a bater meta.,525.0,0.0
ROSIELI,ONBORDING,MUNDI OPTICAL DISTRIBUIDORA,500.0,0.0,0.0,0.0,0.0,-500.0,50.0,0.0,0.0,999,⚪ ONBOARDING,15.5,Acionar cliente: muitos dias sem venda.,1250.0,0.0
ROSIELI,ONBORDING,RDB  COMERCIO E DISTRIBUIDORA ,500.0,0.0,0.0,0.0,0.0,-500.0,50.0,0.0,0.0,999,⚪ ONBOARDING,15.5,Acionar cliente: muitos dias sem venda.,1250.0,0.0
JOYCE,ATIVO,SO BEBE,8383.89,7695.13,0.9178472045792586,11359.477619047619,1.3549173019979532,2975.5876190476192,68.87599999999993,6495.26,0.1847300954850152,3,🟢 SAUDÁVEL,0.0,Manter acompanhamento. Cliente tende a bater meta.,0.0,0.0
CHRIS,ATIVO,OBA OBA,23685.08,65820.29,2.778976891781661,97163.28523809524,4.1022992212015,73478.20523809524,0.0,81563.99,-0.19302268071976383,0,🟢 SAUDÁVEL,0.0,Manter acompanhamento. Cliente tende a bater meta.,2000.0,0.0
JOYCE,ATIVO,DECO HOME,91460.73,83351.79,0.9113396536415137,123043.11857142855,1.3453109172803295,31582.388571428557,810.8940000000002,75500.28,0.10399312426390994,0,🟢 SAUDÁVEL,0.0,Manter acompanhamento. Cliente tende a bater meta.,810.5,0.0
JOYCE,ATIVO,NOTA STORE,10851.94,9753.25,0.8987563513989203,14397.654761904761,1.3267355663507872,3545.714761904761,109.86900000000006,10017.96,-0.02642354331620401,1,🟢 SAUDÁVEL,0.0,Manter acompanhamento. Cliente tende a bater meta.,2000.0,0.0
CHRIS,ATIVO,SHALOM ,31958.35,41016.83,1.2834464232352423,60548.653809523814,1.8946113866805958,28590.303809523815,0.0,29529.06,0.3890327020230241,0,🟢 SAUDÁVEL,0.0,Manter acompanhamento. Cliente tende a bater meta.,2000.0,0.0
