empresa,id_pedido,numero_pedido,situacao,canal,data_pedido,data_faturamento,data_envio,data_entrega,dias_pedido_faturamento,dias_faturamento_envio,dias_envio_entrega
SO BEBE,807490063,3811,Entregue,Magalu,04/05/2026,,,,,,
SO BEBE,807494251,3812,Enviado,Magalu,05/05/2026,,,,,,
SO BEBE,807506928,3813,Enviado,Magalu,05/05/2026,,,,,,
SO BEBE,807607646,3814,Enviado,Magalu,13/05/2026,,,,,,
SO BEBE,807645334,3815,Enviado,Magalu,15/05/2026,,,,,,
SO BEBE,807655812,3816,Enviado,Magalu,16/05/2026,,,,,,
SO BEBE,807664125,3818,Enviado,Magalu,17/05/2026,,,,,,
SO BEBE,807664237,3819,Enviado,Magalu,17/05/2026,,,,,,
SO BEBE,807688665,3820,Pronto para envio,Magalu,18/05/2026,,,,,,
CH BIKE BONNER,362810486,79,Entregue,Mercado Livre,08/05/2026,,,,,,
CH BIKE LPS,363267512,38,Pronto para envio,Mercado Livre,08/05/2026,,,,,,
CH BIKE PASSI,361675792,300,Entregue,Shopee,04/05/2026,,,,,,
CH BIKE PASSI,361870146,301,Entregue,Shopee,04/05/2026,,,,,,
CH BIKE PASSI,362695770,303,Entregue,Mercado Livre,07/05/2026,,,,,,
CH BIKE PASSI,364822102,304,Pronto para envio,Mercado Livre,18/05/2026,,,,,,
DECO UTILIDADES,367210871,1247,Entregue,Não identificado,02/05/2026,,,,,,
DECO UTILIDADES,367217188,1249,Entregue,Não identificado,02/05/2026,,,,,,
DECO UTILIDADES,367240832,1250,Entregue,Não identificado,02/05/2026,,,,,,
DECO UTILIDADES,367241503,1252,Entregue,Não identificado,02/05/2026,,,,,,
DECO UTILIDADES,367243954,1253,Entregue,Não identificado,02/05/2026,,,,,,
DECO UTILIDADES,367398000,1254,Entregue,Não identificado,04/05/2026,,,,,,
DECO UTILIDADES,367416321,1255,Entregue,Não identificado,04/05/2026,,,,,,
DECO UTILIDADES,367437660,1256,Entregue,Não identificado,04/05/2026,,,,,,
DECO UTILIDADES,367447339,1257,Entregue,Não identificado,04/05/2026,,,,,,
DECO UTILIDADES,367483467,1259,Entregue,Não identificado,04/05/2026,,,,,,
DECO UTILIDADES,367485538,1260,Entregue,Não identificado,04/05/2026,,,,,,
DECO UTILIDADES,367487850,1261,Entregue,Não identificado,04/05/2026,,,,,,
DECO UTILIDADES,367848501,1263,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367848637,1264,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367888277,1266,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367893826,1267,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367896784,1268,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367928506,1270,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367932604,1271,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367932729,1272,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,367940833,1273,Entregue,Não identificado,06/05/2026,,,,,,
DECO UTILIDADES,368033585,1274,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368037244,1275,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368039629,1276,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368046178,1278,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368046236,1279,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368078549,1280,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368085380,1281,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368094896,1282,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368101551,1284,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,368119635,1285,Entregue,Não identificado,07/05/2026,,,,,,
DECO UTILIDADES,367241052,1251,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368192808,1286,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368196199,1287,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368197326,1288,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368200058,1289,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368200927,1290,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368207187,1291,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368212288,1292,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368216520,1293,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368219613,1294,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368233850,1296,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368243697,1298,Entregue,Não identificado,08/05/2026,,,,,,
DECO UTILIDADES,368243858,1299,Entregue,Não identificado,08/05/2026,,,,,,
