empresa,codigo_produto,descricao_produto,quantidade,faturamento,pedidos
AF ESTOFADOS,864984847,"Sofá de canto Madrid Premium  2 metros por 2,45 Suede Velut Marrom  Sofa na Web",1.0,2853.02,1
AF ESTOFADOS,AF0001-5,Puff Puffe Quadrado Decorativo Em Suede - CASTOR,1.0,30.25,1
AF ESTOFADOS,AF0001-4,Puff Puffe Quadrado Decorativo Em Suede - CAFÉ,1.0,28.74,1
BALAO DE OFERTAS,K8-9COD-TSAV,10 Rolos De Etiqueta 10X15 100X150 Térmica (Não Precisa de Ribbon) Serrilha Zebra Elgin Com 200 Etiquetas Cada,11.0,1958.0,10
BALAO DE OFERTAS,Q9-HXRN-II3R,Cesta Básica de Alimentos Super Completa 80 Produtos,3.0,1875.0,3
BALAO DE OFERTAS,"1,74562E+11",Lixeira Aço Inox Com Tampa Basculante Meia Esfera 30 Litros Inox,3.0,966.0,1
BALAO DE OFERTAS,FT-4GID-OSQX,Cesta Básica Média Alimentos de Qualidade - 43 Itens - 30kg,2.0,900.0,2
BALAO DE OFERTAS,UK-IGDJ-3Y10,Etiqueta 10x15 Termica adesiva com Serrilha Ecommerce não utiliza ribbon Zebra Argox Elgin L42,39.0,857.61,28
BALAO DE OFERTAS,XM-PQS0-RWDZ,Carrinho para Compras Simples com Proteção Lateral,1.0,850.0,1
BALAO DE OFERTAS,WB-BS0M-OX6Y,JSN Carrinho Para Enrolar Mangueira (Até 100M de 1/2 ou 50M de 3/4),1.0,799.0,1
BALAO DE OFERTAS,GC-OLWW-4IIU,LIXEIRA QUADRADA PLÁSTICA COM PEDAL 60L,5.0,745.0,5
BALAO DE OFERTAS,bdusp-CX6P,Caixa Plástica Organizadora 180l Com Tampa - Preta Preta,2.0,708.0,1
BALAO DE OFERTAS,MLB1898176077,Carrinho enrolador De Mangueira Até 100 M Em Aço Galvanizado,1.0,664.05,1
BALAO DE OFERTAS,TNY-hamx50572,Violão Giannini N14N Acústico Nylon Natural [F002],1.0,616.28,1
BALAO DE OFERTAS,Pi12,Lixeira 12 Litros Com Pedal Aço Inox Cesto Interno Removível,2.0,558.0,1
BALAO DE OFERTAS,ZT-SXF0-PG0T,Cesto com Tampa Vai e Vem 22 Litros Vermelho,7.0,546.0,7
BALAO DE OFERTAS,PF-ETQR-65YH,"Sacos de Lixo 20L, 40L, 60, 100L, 200L - Coloridos - 100 unidades - Coleta Seletiva - Reforçado (Azul, 200 litros)",4.0,525.9,4
BALAO DE OFERTAS,48-KP1D-3ZMV,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Branco),16.0,512.0,16
BALAO DE OFERTAS,3M-H9G0-EMLE,"Conduíte Eletroduto Corrugado Reforçado 3/4"" Extra-Forte 50 M Amarelo",5.0,445.0,4
BALAO DE OFERTAS,HN-GVDU-4I4Z,LIXEIRA PLASTICO 100L COM PEDAL E RODA QUADRADO PRETO/UN/JSN,1.0,445.0,1
BALAO DE OFERTAS,XW-VRWB-J32X,10 Rolos Etiqueta 10x15 100x150 Térmica Adesiva Serrilha Não Utiliza Ribbon Para E-Commerce,2.0,356.0,2
BALAO DE OFERTAS,174570924533,Sacos De Lixo 400 Litros Super Reforçado 50 Un Fabricante,2.0,298.0,2
BALAO DE OFERTAS,5L-5W8Y-OMN2,Lixeira Plástica Tampa Vai-Vem 50 Litros Preto,2.0,290.0,2
BALAO DE OFERTAS,121,Saco De Lixo Plástico Preto 40 Litros Com 100 Unidades Cor:Preto,6.0,288.0,6
BALAO DE OFERTAS,GF-VTP7-MWK7,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Preto),9.0,288.0,9
BALAO DE OFERTAS,HIG-REAL-EML519405,SACO PARA LIXO EMBALIXO BLOQUEADOR DE ODORES COM ALÇA PIA E BANHEIRO - C/ 40 SACOS,10.0,280.0,6
BALAO DE OFERTAS,"1,74561E+11",Lixeira Coletor Para Descarte De Pilhas E Baterias 40 L Preto E Laranja,1.0,271.3,1
BALAO DE OFERTAS,174173076917,Mesa Dobrável De Plástico Resistente Prática Barata Preta,1.0,256.41,1
BALAO DE OFERTAS,HIG-REAL-EML519436,SACO PARA LIXO EMBALIXO BLOQUEADOR DE ODORES COM ALÇA 100L - C/ 10 SACOS,8.0,248.0,5
BALAO DE OFERTAS,HIG-REAL-GM222060007,Fita Rotulador Brother PT-65 PT-70 PT-80 PT-85 PT-70Bm Compatível Etiquetador mk131 M-231 MK-231 MK231 12mm,11.0,208.67,9
BALAO DE OFERTAS,MLB1275745483_40552672366,Saco De Lixo 20 Litros Pacote C/100 Vermelho Cor:Vermelho,9.0,181.0,9
BALAO DE OFERTAS,CQ-7OBH-8XA0,Etiqueta Térmica 100 mm x 150 mm 10 rolos 2000 etiquetas,1.0,180.0,1
BALAO DE OFERTAS,Y1-JX30-NLXI,Cesto Plastico de 29cm Tampa Vai-Vem Capacidade 12 Litros,4.0,180.0,2
BALAO DE OFERTAS,HIG-REAL-GM302010050,Papel Fotográfico Inkjet A4 Matte Dupla Face 220g,3.0,177.0,3
BALAO DE OFERTAS,QV-6HF6-W2H3,Conduíte Eletroduto Corrugado Reforçado 1 Polegada Não Amassa 25 metro Cinza,3.0,177.0,3
BALAO DE OFERTAS,XN-MYHM-8EL4,Saco de Lixo 20 Litros com 100 Unidades - Reforçado (Amarelo),6.0,177.0,6
BALAO DE OFERTAS,DG-QJGC-N11X,Cinzeiro Lixeira Plástico Com Aro Em Aço Inox 24x53 C6i JSN,1.0,176.0,1
BALAO DE OFERTAS,HIG-VIRT-JSN-P60am-001,"Lixeira Quadrada Plástica com Pedal (Amarelo, 60 litros)",1.0,175.0,1
BALAO DE OFERTAS,HIG-REAL-EML519412,SACO PARA LIXO EMBALIXO BLOQUEADOR DE ODORES COM ALÇA 30L - C/ 20 SACOS,6.0,174.0,4
BALAO DE OFERTAS,174570763575,Saco Para Lixo 200 Litros P7 Reforçado C/ 100 Unidades,1.0,169.0,1
BALAO DE OFERTAS,HIG-VIRT-JSN-P60p-001,"Lixeira Quadrada Plástica com Pedal (Preto, 60 litros)",1.0,166.86,1
BALAO DE OFERTAS,HIG-REAL-GM302010059,Papel Fotográfico Matte 90g A4 Fosco Branco Masterprint 100 Folhas,5.0,159.5,3
BALAO DE OFERTAS,60005677858,100 - Saco De Lixo Transparente - 200 Litros Médio 0.10 Cor:Branco,1.0,147.0,1
